0,1,2,3,4,5,6,7,8,uci_class,label_int,label
x,x,x,x,o,o,x,o,o,positive,2,Fim de Jogo
x,x,x,x,o,o,o,x,o,positive,2,Fim de Jogo
x,x,x,x,o,o,o,o,x,positive,2,Fim de Jogo
x,x,x,x,o,o,o,b,b,positive,2,Fim de Jogo
x,x,x,x,o,o,b,o,b,positive,2,Fim de Jogo
x,x,x,x,o,o,b,b,o,positive,2,Fim de Jogo
x,x,x,x,o,b,o,o,b,positive,2,Fim de Jogo
x,x,x,x,o,b,o,b,o,positive,2,Fim de Jogo
x,x,x,x,o,b,b,o,o,positive,2,Fim de Jogo
x,x,x,x,b,o,o,o,b,positive,2,Fim de Jogo
x,x,x,x,b,o,o,b,o,positive,2,Fim de Jogo
x,x,x,x,b,o,b,o,o,positive,2,Fim de Jogo
x,x,x,o,x,o,x,o,o,positive,2,Fim de Jogo
x,x,x,o,x,o,o,x,o,positive,2,Fim de Jogo
x,x,x,o,x,o,o,o,x,positive,2,Fim de Jogo
x,x,x,o,x,o,o,b,b,positive,2,Fim de Jogo
x,x,x,o,x,o,b,o,b,positive,2,Fim de Jogo
x,x,x,o,x,o,b,b,o,positive,2,Fim de Jogo
x,x,x,o,x,b,o,o,b,positive,2,Fim de Jogo
x,x,x,o,x,b,o,b,o,positive,2,Fim de Jogo
x,x,x,o,x,b,b,o,o,positive,2,Fim de Jogo
x,x,x,o,o,x,x,o,o,positive,2,Fim de Jogo
x,x,x,o,o,x,o,x,o,positive,2,Fim de Jogo
x,x,x,o,o,x,o,o,x,positive,2,Fim de Jogo
x,x,x,o,o,x,o,b,b,positive,2,Fim de Jogo
x,x,x,o,o,x,b,o,b,positive,2,Fim de Jogo
x,x,x,o,o,x,b,b,o,positive,2,Fim de Jogo
x,x,x,o,o,b,x,o,b,positive,2,Fim de Jogo
x,x,x,o,o,b,x,b,o,positive,2,Fim de Jogo
x,x,x,o,o,b,o,x,b,positive,2,Fim de Jogo
x,x,x,o,o,b,o,b,x,positive,2,Fim de Jogo
x,x,x,o,o,b,b,x,o,positive,2,Fim de Jogo
x,x,x,o,o,b,b,o,x,positive,2,Fim de Jogo
x,x,x,o,o,b,b,b,b,positive,2,Fim de Jogo
x,x,x,o,b,x,o,o,b,positive,2,Fim de Jogo
x,x,x,o,b,x,o,b,o,positive,2,Fim de Jogo
x,x,x,o,b,x,b,o,o,positive,2,Fim de Jogo
x,x,x,o,b,o,x,o,b,positive,2,Fim de Jogo
x,x,x,o,b,o,x,b,o,positive,2,Fim de Jogo
x,x,x,o,b,o,o,x,b,positive,2,Fim de Jogo
x,x,x,o,b,o,o,b,x,positive,2,Fim de Jogo
x,x,x,o,b,o,b,x,o,positive,2,Fim de Jogo
x,x,x,o,b,o,b,o,x,positive,2,Fim de Jogo
x,x,x,o,b,o,b,b,b,positive,2,Fim de Jogo
x,x,x,o,b,b,x,o,o,positive,2,Fim de Jogo
