0,1,2,3,4,5,6,7,8,label_int,label
b,b,b,o,o,x,b,x,b,0,Tem Jogo
x,o,x,b,b,o,b,b,b,0,Tem Jogo
x,b,b,b,b,x,b,b,o,0,Tem Jogo
o,x,b,o,b,b,x,o,x,0,Tem Jogo
o,b,b,b,b,x,b,b,b,0,Tem Jogo
x,o,b,o,b,b,x,b,b,0,Tem Jogo
b,x,b,b,b,o,o,b,x,0,Tem Jogo
o,x,b,x,b,o,x,o,x,0,Tem Jogo
b,b,b,x,x,o,o,b,b,0,Tem Jogo
b,o,b,b,x,b,b,x,o,0,Tem Jogo
b,b,b,b,b,o,b,b,x,0,Tem Jogo
b,b,x,b,b,o,b,x,b,0,Tem Jogo
x,o,o,b,b,x,b,b,b,0,Tem Jogo
b,b,b,b,o,b,x,b,b,0,Tem Jogo
b,x,b,o,o,x,x,o,b,0,Tem Jogo
x,b,b,o,b,x,o,x,o,0,Tem Jogo
x,b,b,b,b,x,o,b,b,0,Tem Jogo
x,b,o,o,b,x,x,o,b,0,Tem Jogo
o,x,x,b,b,b,b,b,b,0,Tem Jogo
o,x,b,x,b,b,x,o,x,0,Tem Jogo
o,x,o,b,b,x,b,b,b,0,Tem Jogo
b,x,b,b,o,x,x,o,b,0,Tem Jogo
x,o,b,b,x,b,b,b,o,0,Tem Jogo
x,b,b,o,b,x,o,b,b,0,Tem Jogo
b,b,b,x,b,b,o,b,x,0,Tem Jogo
b,b,b,x,b,b,b,o,x,0,Tem Jogo
b,b,b,b,b,x,o,b,b,0,Tem Jogo
o,b,b,x,b,o,o,x,x,0,Tem Jogo
b,b,x,b,b,o,b,o,x,0,Tem Jogo
o,x,b,b,b,b,x,b,b,0,Tem Jogo
x,o,x,x,b,b,o,x,o,0,Tem Jogo
o,b,b,x,b,o,b,b,x,0,Tem Jogo
x,o,b,o,b,b,b,x,b,0,Tem Jogo
b,b,b,b,o,b,b,x,b,0,Tem Jogo
x,o,b,b,o,x,b,x,b,0,Tem Jogo
b,b,b,x,b,o,o,x,x,0,Tem Jogo
o,x,x,x,o,o,b,b,x,0,Tem Jogo
b,b,o,b,b,x,b,b,x,0,Tem Jogo
o,x,o,b,b,x,b,b,x,0,Tem Jogo
b,x,o,b,b,b,x,o,b,0,Tem Jogo
b,b,o,b,o,x,x,b,b,0,Tem Jogo
b,x,b,o,b,b,b,o,x,0,Tem Jogo
x,b,o,o,x,x,x,b,o,0,Tem Jogo
o,b,x,x,b,o,o,x,x,0,Tem Jogo
x,o,x,o,b,x,b,b,o,0,Tem Jogo
x,o,b,b,x,b,b,x,o,0,Tem Jogo
b,x,b,b,b,o,b,b,x,0,Tem Jogo
o,b,x,x,b,b,b,o,b,0,Tem Jogo
b,b,x,x,b,o,b,o,b,0,Tem Jogo
b,b,x,b,o,b,x,b,b,0,Tem Jogo
b,b,b,x,b,b,o,b,b,0,Tem Jogo
x,x,o,o,b,x,x,b,o,0,Tem Jogo
b,x,b,o,b,b,x,b,b,0,Tem Jogo
b,b,o,x,b,b,b,b,b,0,Tem Jogo
b,o,x,b,x,o,o,x,b,0,Tem Jogo
x,o,b,o,b,b,x,x,o,0,Tem Jogo
o,x,b,x,x,o,b,o,b,0,Tem Jogo
x,o,x,x,b,o,o,b,b,0,Tem Jogo
b,b,x,b,b,x,o,x,o,0,Tem Jogo
b,x,b,o,x,x,b,o,b,0,Tem Jogo
o,x,o,b,b,b,x,b,b,0,Tem Jogo
o,x,o,b,b,x,x,o,x,0,Tem Jogo
o,o,x,x,b,b,b,b,b,0,Tem Jogo
b,b,x,b,x,o,o,b,b,0,Tem Jogo
b,b,x,b,b,o,o,x,b,0,Tem Jogo
b,o,b,x,b,o,o,x,x,0,Tem Jogo
b,o,x,x,b,o,b,b,x,0,Tem Jogo
b,o,x,x,b,o,b,x,o,0,Tem Jogo
x,x,o,o,b,b,x,b,b,0,Tem Jogo
b,b,x,x,o,o,o,x,b,0,Tem Jogo
b,o,b,b,b,x,o,x,b,0,Tem Jogo
b,b,b,o,x,x,b,o,b,0,Tem Jogo
b,b,x,x,o,o,b,b,x,0,Tem Jogo
o,b,b,b,x,o,b,b,x,0,Tem Jogo
x,o,x,x,b,o,o,x,b,0,Tem Jogo
b,x,o,o,x,x,x,o,b,0,Tem Jogo
b,o,b,b,x,b,b,b,b,0,Tem Jogo
b,x,o,b,x,b,b,o,b,0,Tem Jogo
o,b,b,x,o,b,b,b,x,0,Tem Jogo
x,o,x,b,b,x,b,b,o,0,Tem Jogo
x,o,x,x,b,b,o,b,b,0,Tem Jogo
x,x,o,o,b,x,b,o,b,0,Tem Jogo
b,b,o,o,b,x,x,x,o,0,Tem Jogo
b,b,b,x,b,b,b,o,b,0,Tem Jogo
x,b,o,o,b,x,b,x,o,0,Tem Jogo
x,x,o,o,b,x,x,o,b,0,Tem Jogo
x,o,b,b,b,o,b,x,b,0,Tem Jogo
b,o,b,x,o,b,b,x,b,0,Tem Jogo
b,b,b,b,b,x,x,o,b,0,Tem Jogo
x,o,o,b,b,b,b,x,b,0,Tem Jogo
b,x,b,o,b,x,b,b,o,0,Tem Jogo
x,x,o,b,b,x,b,o,b,0,Tem Jogo
b,o,b,b,b,x,b,x,b,0,Tem Jogo
b,b,b,o,b,x,b,x,o,0,Tem Jogo
o,b,b,x,b,b,b,x,b,0,Tem Jogo
x,b,b,o,b,x,x,x,o,0,Tem Jogo
b,x,o,x,b,o,b,o,x,0,Tem Jogo
b,o,b,b,b,b,b,b,x,0,Tem Jogo
b,o,x,x,b,b,b,b,b,0,Tem Jogo
o,b,b,b,b,b,b,b,x,0,Tem Jogo
o,b,x,b,b,b,b,x,b,0,Tem Jogo
x,b,o,b,b,b,b,b,b,0,Tem Jogo
b,b,x,b,b,b,o,b,b,0,Tem Jogo
b,x,o,b,b,o,b,b,x,0,Tem Jogo
b,x,o,o,b,b,x,o,x,0,Tem Jogo
b,x,b,x,o,o,b,x,b,0,Tem Jogo
x,b,b,b,b,b,b,x,o,0,Tem Jogo
b,o,b,o,x,b,b,x,b,0,Tem Jogo
b,b,b,o,b,b,b,b,x,0,Tem Jogo
o,b,b,x,x,o,b,b,x,0,Tem Jogo
x,o,x,o,b,x,b,x,o,0,Tem Jogo
o,x,b,x,o,b,b,b,x,0,Tem Jogo
b,o,x,b,b,o,b,b,x,0,Tem Jogo
x,b,b,o,b,b,x,b,b,0,Tem Jogo
o,b,x,x,b,b,o,b,b,0,Tem Jogo
b,x,b,o,b,x,b,b,b,0,Tem Jogo
o,x,b,x,b,o,x,o,b,0,Tem Jogo
b,b,x,x,o,b,o,b,b,0,Tem Jogo
b,o,x,x,b,b,o,x,o,0,Tem Jogo
b,b,b,b,b,x,b,x,o,0,Tem Jogo
b,b,x,x,b,o,o,x,o,0,Tem Jogo
b,b,o,b,b,x,b,x,b,0,Tem Jogo
o,x,b,o,b,b,x,b,b,0,Tem Jogo
b,b,b,b,b,b,b,x,o,0,Tem Jogo
x,o,b,x,b,b,o,b,b,0,Tem Jogo
b,x,b,b,b,o,b,o,x,0,Tem Jogo
b,b,b,x,b,b,o,x,o,0,Tem Jogo
b,b,b,x,o,o,b,b,x,0,Tem Jogo
b,b,b,o,b,x,b,x,b,0,Tem Jogo
x,b,o,o,b,b,x,b,b,0,Tem Jogo
x,o,o,o,b,x,b,x,b,0,Tem Jogo
b,x,b,b,x,b,b,o,b,0,Tem Jogo
b,o,x,x,x,o,o,b,b,0,Tem Jogo
x,o,b,b,b,x,b,b,b,0,Tem Jogo
b,o,x,x,b,b,b,x,o,0,Tem Jogo
b,b,o,b,b,b,x,o,x,0,Tem Jogo
x,b,b,b,o,x,b,b,o,0,Tem Jogo
o,b,b,b,x,b,b,b,x,0,Tem Jogo
o,b,b,b,b,b,x,o,x,0,Tem Jogo
b,b,x,x,o,b,o,x,b,0,Tem Jogo
x,o,b,o,b,x,x,b,o,0,Tem Jogo
b,o,x,b,b,b,b,b,b,0,Tem Jogo
b,x,b,b,b,o,x,o,b,0,Tem Jogo
b,x,b,x,b,o,b,b,b,0,Tem Jogo
b,b,b,b,b,o,o,x,x,0,Tem Jogo
x,o,x,x,o,b,o,x,b,0,Tem Jogo
o,b,x,x,o,o,b,b,x,0,Tem Jogo
x,b,b,b,b,x,o,x,o,0,Tem Jogo
b,o,b,x,b,b,o,x,b,0,Tem Jogo
b,b,x,o,b,x,b,x,o,0,Tem Jogo
b,b,o,b,b,x,x,o,b,0,Tem Jogo
x,b,b,b,b,o,b,b,b,0,Tem Jogo
b,o,x,x,b,b,b,b,o,0,Tem Jogo
b,b,x,b,b,b,b,b,o,0,Tem Jogo
o,x,b,b,b,b,b,o,x,0,Tem Jogo
b,x,b,x,b,o,o,b,x,0,Tem Jogo
b,x,o,b,o,x,x,o,b,0,Tem Jogo
x,o,x,b,b,b,b,b,o,0,Tem Jogo
b,x,b,x,o,b,b,b,b,0,Tem Jogo
x,o,x,b,b,x,o,x,o,0,Tem Jogo
b,o,x,x,b,b,o,b,b,0,Tem Jogo
x,b,o,o,b,x,b,x,b,0,Tem Jogo
b,b,b,b,b,x,x,o,o,0,Tem Jogo
b,x,o,x,b,b,b,o,x,0,Tem Jogo
x,o,b,o,b,x,x,b,b,0,Tem Jogo
b,x,b,b,o,x,b,o,b,0,Tem Jogo
x,o,o,b,b,x,b,x,b,0,Tem Jogo
b,o,x,x,o,b,b,x,b,0,Tem Jogo
o,b,b,b,x,b,b,b,b,0,Tem Jogo
b,b,b,x,o,o,b,x,b,0,Tem Jogo
o,b,b,b,b,x,x,o,b,0,Tem Jogo
b,b,x,x,b,b,b,b,o,0,Tem Jogo
b,x,b,o,b,b,x,b,o,0,Tem Jogo
o,x,b,o,b,x,x,o,b,0,Tem Jogo
b,o,x,x,b,o,o,b,x,0,Tem Jogo
b,b,x,b,o,b,o,x,b,0,Tem Jogo
b,x,b,x,o,o,b,o,x,0,Tem Jogo
o,x,b,b,b,o,x,o,x,0,Tem Jogo
b,b,x,o,b,b,b,x,o,0,Tem Jogo
b,o,b,x,b,b,o,b,x,0,Tem Jogo
b,b,b,b,b,b,x,x,o,0,Tem Jogo
b,b,b,b,o,b,b,b,x,0,Tem Jogo
b,o,b,b,b,x,x,b,b,0,Tem Jogo
b,x,o,o,b,b,b,b,x,0,Tem Jogo
b,o,b,x,x,o,b,x,b,0,Tem Jogo
b,b,b,b,b,b,o,x,b,0,Tem Jogo
o,x,b,b,b,x,b,o,b,0,Tem Jogo
b,x,o,b,x,b,x,o,b,0,Tem Jogo
b,b,o,o,b,x,x,b,b,0,Tem Jogo
b,b,b,o,b,x,x,o,b,0,Tem Jogo
b,b,b,b,x,o,b,b,b,0,Tem Jogo
b,x,o,b,b,b,x,b,b,0,Tem Jogo
b,o,b,b,x,o,b,x,b,0,Tem Jogo
b,b,x,b,b,b,b,o,b,0,Tem Jogo
o,b,x,b,b,b,b,b,b,0,Tem Jogo
b,x,b,x,b,b,o,o,x,0,Tem Jogo
b,x,o,b,o,x,x,b,b,0,Tem Jogo
o,b,b,x,b,o,x,b,b,0,Tem Jogo
x,o,b,o,b,x,b,b,b,0,Tem Jogo
b,b,b,b,o,x,b,b,b,0,Tem Jogo
x,b,b,o,o,x,x,b,o,0,Tem Jogo
o,x,o,b,b,b,b,b,x,0,Tem Jogo
o,b,b,x,b,b,b,o,x,0,Tem Jogo
o,b,b,x,b,b,b,b,b,0,Tem Jogo
b,x,b,o,o,x,b,x,b,0,Tem Jogo
o,x,o,x,b,b,b,b,x,0,Tem Jogo
b,o,b,b,b,b,x,b,b,0,Tem Jogo
b,x,b,o,b,x,x,b,o,0,Tem Jogo
b,b,x,b,b,b,b,x,o,0,Tem Jogo
b,x,o,b,b,x,b,o,x,0,Tem Jogo
b,x,b,b,b,o,b,b,b,0,Tem Jogo
b,o,b,x,x,o,b,b,b,0,Tem Jogo
b,b,b,o,x,x,b,b,o,0,Tem Jogo
x,o,b,o,x,b,b,x,o,0,Tem Jogo
b,b,b,b,b,o,x,o,x,0,Tem Jogo
b,x,b,x,o,x,b,o,b,0,Tem Jogo
b,b,x,x,b,b,o,b,b,0,Tem Jogo
x,b,b,o,o,x,b,x,b,0,Tem Jogo
o,x,o,x,b,b,x,o,b,0,Tem Jogo
o,b,x,x,b,o,b,o,x,0,Tem Jogo
o,x,o,b,b,x,b,o,x,0,Tem Jogo
b,x,o,b,b,x,b,b,o,0,Tem Jogo
b,x,b,b,b,b,o,b,b,0,Tem Jogo
b,o,b,o,x,x,b,x,o,0,Tem Jogo
b,x,o,b,b,x,b,b,b,0,Tem Jogo
b,b,o,b,b,b,b,b,x,0,Tem Jogo
b,o,x,x,b,o,b,b,b,0,Tem Jogo
b,b,x,o,b,x,b,b,o,0,Tem Jogo
b,b,o,o,b,x,b,b,x,0,Tem Jogo
b,b,b,x,x,o,b,o,b,0,Tem Jogo
b,o,b,b,b,b,b,x,b,0,Tem Jogo
b,x,b,x,o,o,b,b,x,0,Tem Jogo
x,b,b,x,b,b,o,b,b,0,Tem Jogo
o,o,x,x,b,o,b,b,x,0,Tem Jogo
o,x,b,x,o,o,b,b,x,0,Tem Jogo
o,x,b,b,b,x,b,b,b,0,Tem Jogo
b,x,o,o,b,x,b,b,b,0,Tem Jogo
b,b,b,x,b,b,o,o,x,0,Tem Jogo
x,b,b,b,o,b,b,b,x,0,Tem Jogo
